log_CP,log_seaice,log_Cfall,log_Esummer,log_RperS,SSB,log_PercentCop,log_PercentEuph
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1.4625500783328285,0.50396,NA,NA
NA,NA,NA,NA,0.9758389575742967,0.59151,NA,NA
NA,NA,NA,NA,1.35529479751776,0.6866,NA,NA
NA,NA,NA,NA,0.9768842975978589,0.87094,NA,NA
NA,NA,NA,NA,0.9232197708962695,1.0867,NA,NA
NA,NA,NA,NA,0.6078866420626166,1.3396,NA,NA
NA,NA,NA,NA,-0.040726630103760986,1.5728,NA,NA
NA,NA,NA,NA,-0.3037355441978955,1.6668,NA,NA
NA,NA,NA,NA,0.5708512612911969,1.5817,NA,NA
NA,NA,NA,NA,0.4314829208299029,1.3227,NA,NA
NA,NA,NA,NA,0.5702738966114489,0.9728300000000001,NA,NA
NA,NA,NA,NA,0.46712781059528385,0.8208799999999999,NA,NA
NA,NA,NA,NA,0.4891205951626083,0.82635,NA,NA
NA,NA,NA,NA,1.0397154692624606,0.8474400000000001,NA,NA
NA,NA,NA,NA,1.9095822347416584,0.8385900000000001,NA,NA
NA,NA,NA,NA,1.2040635357125717,0.7835599999999999,NA,NA
NA,0.1896863917635212,NA,NA,1.305138718551936,0.84982,NA,NA
NA,0.3477433265578451,NA,NA,0.27768286789597196,1.3791,NA,NA
0.34726701005991245,0.624399928997919,NA,NA,0.9426867452843841,2.1068000000000002,NA,NA
0.07923976589058057,0.2462738663929862,NA,NA,-0.5905903721101358,2.656,NA,NA
0.33007255659444645,0.6376159803894446,NA,NA,0.19967976950079125,2.9227,NA,NA
0.3175898155847605,0.16892440031509182,NA,NA,-0.8261869117337484,3.2712,NA,NA
0.5472486814327926,0.1260606958833108,NA,NA,-1.5070056409564727,3.5921,NA,NA
-0.45708491431809506,-0.006428487162768448,NA,NA,-1.8508481454603158,3.7902,NA,NA
0.3220918612736643,0.39625497798351894,NA,NA,-1.2027073634669483,3.8261999999999996,NA,NA
-0.3417452481929928,0.7725140535601636,NA,NA,0.3794463907438641,3.4541999999999997,NA,NA
0.17355044536182263,0.32706312132030746,NA,NA,-0.054108570583605964,2.7807,NA,NA
0.15564460956801263,0.27183436337252154,NA,NA,0.10961530992572754,2.0899,NA,NA
0.4836208630524883,-0.04898810158156408,NA,NA,0.7500837126640918,2.2051,NA,NA
-0.11225545393173064,0.6887998596010014,NA,NA,-0.655093605263185,3.0582,NA,NA
0.5548767780937975,-0.0360289569390595,NA,NA,-1.1265000354278702,3.3848000000000003,NA,NA
0.6087110891499066,0.7215226155918693,NA,NA,-0.42750188846528947,3.5736,NA,NA
-0.407022861852985,-0.1025723477156717,NA,NA,-0.13483622209867452,3.616,NA,NA
0.1485937133879549,0.09642889827694034,NA,NA,-0.7813063059906649,3.3689,NA,NA
-0.3940194278149196,0.018264125427602806,NA,NA,-0.6283799904794438,3.1003000000000003,NA,NA
0.9503524369743435,0.11135454849361537,NA,NA,-0.18941136427128358,3.1204,NA,NA
0.4623234718026108,0.6592618471641369,2.453225135279007,NA,0.141980243964841,3.1342,NA,NA
0.16250373906079396,-0.0979956806882587,NA,NA,-0.26533396957243016,3.1388000000000003,NA,NA
-0.38462272167985745,0.5813581777393502,NA,NA,-0.6938143467930573,2.9400999999999997,NA,NA
-1.1574024881014147,-0.4966348237260245,-5.7092068103667275,NA,-1.5388600322870623,3.0909,-1.1896250807237658,-0.35866488456008705
-0.5111815382728384,-0.2400433383442735,NA,-0.5220977373669764,-1.9098717674442487,3.1873,-1.3806219507944553,-0.48201873417493135
-0.5545673379499139,-0.2996816046640056,-6.577224741564763,NA,-0.8944553010827534,2.9149000000000003,-1.8831518598984047,-1.0764221436813215
0.4932837671859822,0.5093846781142606,-2.398218089755978,0.16093131302738506,0.06793695994961224,2.3845,-1.2803084928951094,0.31994999087528275
0.6332903143588382,-0.5103336680841863,0.08437267452237629,0.5423815449316756,-0.3610476262047537,1.9635,0.04853471595648773,0.48121037575492165
0.8387037956556256,-0.9652788334557219,3.4855167927814805,0.6456565540984802,1.2605256484868121,1.449,1.238681020681013,-0.1509890957752047
0.7631351797785957,0.3359784849782592,2.372020623722092,0.8675467106381971,0.41516419328159726,1.5271,1.2153965894189787,-0.061740567522444056
0.5897557921308803,0.44252173288513497,2.8243642773962727,0.5584553697627364,-0.22750643797067527,1.7612999999999999,1.131652874147692,0.40332088019837176
0.11779949128975353,-0.724893475707006,3.397436243097254,NA,-0.5687144539161864,2.1225,1.5476644046763872,-0.18623811087365572
0.9049021132499835,0.23978033708243807,3.943154025207351,-0.05798390217730365,0.6250024472775437,2.4575,1.47102841538824,-0.3026501778103037
0.5492820880884004,0.42643559513351015,NA,NA,0.641774914911093,2.7386999999999997,NA,NA
-0.15260895465095992,-0.724893475707006,2.467458429480128,-0.37854956649898286,-0.2958633470915577,2.6275999999999997,1.1709330531849056,-0.11822202171528495
-0.19649314005153684,-0.8142385760428539,-0.6871877867805622,NA,-1.2121684442852765,2.5814,-0.342265986717043,0.8073930810734904
-0.5142588941774235,-0.3052838602126755,-2.77860494905963,-1.1193247960481842,-1.1477959799476622,3.1753,-1.0188626645415315,0.02440578142117622
0.1253657316730692,-0.4966348237260245,1.3442797231468204,NA,-0.7105150220708676,3.6103,NA,NA
-3.1889680817352204,-1.0211592918501768,-2.589734288549119,-0.4890914408988061,0.9408227870896,3.2634000000000003,-0.7290550378833944,0.7006656267899903
-1.7235695395240587,-1.0562506116614454,NA,NA,-0.2846555339467294,2.9775,NA,NA
